name,slug,region,date_of_information,ranking
Mongolia,mongolia,East and Southeast Asia,2022 est.,134
Puerto Rico,puerto-rico,Central America and the Caribbean,2022 est.,135
Albania,albania,Europe,2022 est.,136
Kuwait,kuwait,Middle East,2022 est.,137
Armenia,armenia,Middle East,2022 est.,138
West Bank,west-bank,Middle East,2022 est.,139
Jamaica,jamaica,Central America and the Caribbean,2022 est.,140
Namibia,namibia,Africa,2022 est.,141
Lithuania,lithuania,Europe,2022 est.,142
Qatar,qatar,Middle East,2022 est.,143
"Gambia, The",gambia-the,Africa,2022 est.,144
Botswana,botswana,Africa,2022 est.,145
Gabon,gabon,Africa,2022 est.,146
Lesotho,lesotho,Africa,2022 est.,147
North Macedonia,north-macedonia,Europe,2022 est.,148
Slovenia,slovenia,Europe,2022 est.,149
Guinea-Bissau,guinea-bissau,Africa,2022 est.,150
Gaza Strip,gaza-strip,Middle East,2022 est.,151
Kosovo,kosovo,Europe,2022 est.,152
Latvia,latvia,Europe,2022 est.,153
Equatorial Guinea,equatorial-guinea,Africa,2022 est.,154
Bahrain,bahrain,Middle East,2022 est.,155
Timor-Leste,timor-leste,East and Southeast Asia,2022 est.,156
Trinidad and Tobago,trinidad-and-tobago,Central America and the Caribbean,2022 est.,157
Mauritius,mauritius,Africa,2022 est.,158
Cyprus,cyprus,Europe,2022 est.,159
Estonia,estonia,Europe,2022 est.,160
Eswatini,eswatini,Africa,2022 est.,161
Djibouti,djibouti,Africa,2022 est.,162
Fiji,fiji,Australia and Oceania,2022 est.,163
Comoros,comoros,Africa,2022 est.,164
Bhutan,bhutan,South Asia,2022 est.,165
Guyana,guyana,South America,2022 est.,166
Solomon Islands,solomon-islands,Australia and Oceania,2022 est.,167
Luxembourg,luxembourg,Europe,2022 est.,168
Macau,macau,East and Southeast Asia,2022 est.,169
Suriname,suriname,South America,2022 est.,170
Montenegro,montenegro,Europe,2022 est.,171
Cabo Verde,cabo-verde,Africa,2022 est.,172
Brunei,brunei,East and Southeast Asia,2022 est.,173
Malta,malta,Europe,2022 est.,174
Belize,belize,Central America and the Caribbean,2022 est.,175
Maldives,maldives,South Asia,2022 est.,176
Iceland,iceland,Europe,2022 est.,177
"Bahamas, The",bahamas-the,Central America and the Caribbean,2022 est.,178
Vanuatu,vanuatu,Australia and Oceania,2022 est.,179
Barbados,barbados,Central America and the Caribbean,2022 est.,180
French Polynesia,french-polynesia,Australia and Oceania,2022 est.,181
New Caledonia,new-caledonia,Australia and Oceania,2022 est.,182
