name,slug,value,date_of_information,ranking,region
"Georgia","georgia","$8,086,000,000","2021 est.","114","Middle East"
"Honduras","honduras","$7,941,000,000","2021 est.","115","Central America and the Caribbean"
"Botswana","botswana","$7,931,000,000","2021 est.","116","Africa"
"Laos","laos","$7,820,000,000","2021 est.","117","East and Southeast Asia"
"Turkmenistan","turkmenistan","$7,458,000,000","2017 est.","118","Central Asia"
"Cameroon","cameroon","$7,449,000,000","2021 est.","119","Africa"
"Nicaragua","nicaragua","$6,617,000,000","2021 est.","120","Central America and the Caribbean"
"Mozambique","mozambique","$6,404,000,000","2021 est.","121","Africa"
"Uganda","uganda","$6,177,000,000","2021 est.","122","Africa"
"Sudan","sudan","$5,916,000,000","2021 est.","123","Africa"
"Albania","albania","$5,612,000,000","2021 est.","124","Europe"
"Burkina Faso","burkina-faso","$5,356,000,000","2020 est.","125","Africa"
"Senegal","senegal","$5,287,000,000","2018 est.","126","Africa"
"Zimbabwe","zimbabwe","$5,263,000,000","2020 est.","127","Africa"
"Mali","mali","$5,196,000,000","2020 est.","128","Africa"
"Djibouti","djibouti","$5,160,000,000","2021 est.","129","Africa"
"Armenia","armenia","$5,012,000,000","2021 est.","130","Middle East"
"Congo, Republic of the","congo-republic-of-the","$4,670,000,000","2020 est.","131","Africa"
"South Sudan","south-sudan","$4,652,000,000","2021 est.","132","Africa"
"Guyana","guyana","$4,640,000,000","2021 est.","133","South America"
"Jamaica","jamaica","$4,385,000,000","2021 est.","134","Central America and the Caribbean"
"Moldova","moldova","$4,197,000,000","2021 est.","135","Europe"
"Namibia","namibia","$3,955,000,000","2021 est.","136","Africa"
"Maldives","maldives","$3,950,000,000","2021 est.","137","South Asia"
"San Marino","san-marino","$3,827,000,000","2011 est.","138","Europe"
"Cayman Islands","cayman-islands","$3,652,000,000","2020 est.","139","Central America and the Caribbean"
"Benin","benin","$3,506,000,000","2020 est.","140","Africa"
"Kyrgyzstan","kyrgyzstan","$3,350,000,000","2021 est.","141","Central Asia"
"Madagascar","madagascar","$3,341,000,000","2021 est.","142","Africa"
"Liechtenstein","liechtenstein","$3,217,000,000","2015 est.","143","Europe"
"Bahamas, The","bahamas-the","$3,202,000,000","2021 est.","144","Central America and the Caribbean"
"Mauritius","mauritius","$3,198,000,000","2021 est.","145","Africa"
"Gaza Strip","gaza-strip","$3,180,000,000","2021 est.","146","Middle East"
"Mauritania","mauritania","$3,180,000,000","2021 est.","147","Africa"
"West Bank","west-bank","$3,180,000,000","2021 est.","148","Middle East"
"Kosovo","kosovo","$3,138,000,000","2021 est.","149","Europe"
"Cuba","cuba","$2,630,000,000","2017 est.","150","Central America and the Caribbean"
"Nepal","nepal","$2,520,000,000","2021 est.","151","South Asia"
"Montenegro","montenegro","$2,502,000,000","2021 est.","152","Europe"
"Chad","chad","$2,464,000,000","2017 est.","153","Africa"
"Timor-Leste","timor-leste","$2,315,000,000","2021 est.","154","East and Southeast Asia"
"Suriname","suriname","$2,299,000,000","2021 est.","155","South America"
"Barbados","barbados","$2,228,000,000","2017 est.","156","Central America and the Caribbean"
"New Caledonia","new-caledonia","$2,207,000,000","2014 est.","157","Australia and Oceania"
"Aruba","aruba","$2,201,000,000","2021 est.","158","Central America and the Caribbean"
"Tajikistan","tajikistan","$2,161,000,000","2021 est.","159","Central Asia"
"Eswatini","eswatini","$2,132,000,000","2021 est.","160","Africa"
"Rwanda","rwanda","$2,110,000,000","2021 est.","161","Africa"
"Syria","syria","$1,850,000,000","2017 est.","162","Middle East"
"Andorra","andorra","$1,842,000,000","2020 est.","163","Europe"
"Virgin Islands","virgin-islands","$1,810,000,000","2016 est.","164","Central America and the Caribbean"
"Seychelles","seychelles","$1,751,000,000","2021 est.","165","Africa"
"Togo","togo","$1,722,000,000","2020 est.","166","Africa"
"Malawi","malawi","$1,538,000,000","2021 est.","167","Africa"
"Afghanistan","afghanistan","$1,476,000,000","2020 est.","168","South Asia"
"Niger","niger","$1,338,000,000","2020 est.","169","Africa"
"Curacao","curacao","$1,280,000,000","2021 est.","170","Central America and the Caribbean"
"French Polynesia","french-polynesia","$1,245,000,000","2014 est.","171","Australia and Oceania"
"Haiti","haiti","$1,241,000,000","2021 est.","172","Central America and the Caribbean"
"Faroe Islands","faroe-islands","$1,184,000,000","2016 est.","173","Europe"
"Fiji","fiji","$1,171,000,000","2021 est.","174","Australia and Oceania"
"Guam","guam","$1,124,000,000","2016 est.","175","Australia and Oceania"
"Bermuda","bermuda","$1,123,000,000","2021 est.","176","North America"
"Lesotho","lesotho","$1,080,000,000","2021 est.","177","Africa"
"Belize","belize","$1,044,000,000","2021 est.","178","Central America and the Caribbean"
"Monaco","monaco","$964,600,000","2017 est.","179","Europe"
"Northern Mariana Islands","northern-mariana-islands","$914,000,000","2016 est.","180","Australia and Oceania"
"Saint Lucia","saint-lucia","$890,724,000","2021 est.","181","Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","$827,000,000","2018 est.","182","Central America and the Caribbean"
"Somalia","somalia","$819,000,000","2014 est.","183","Africa"
"Sint Maarten","sint-maarten","$787,981,000","2021 est.","184","Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","$749,476,000","2021 est.","185","Central America and the Caribbean"
"Bhutan","bhutan","$741,602,000","2021 est.","186","South Asia"
"Sierra Leone","sierra-leone","$700,971,000","2020 est.","187","Africa"
"Eritrea","eritrea","$624,300,000","2017 est.","188","Africa"
"Liberia","liberia","$554,013,000","2019 est.","189","Africa"
"Cabo Verde","cabo-verde","$459,923,000","2021 est.","190","Africa"
"American Samoa","american-samoa","$428,000,000","2016 est.","191","Australia and Oceania"
"Solomon Islands","solomon-islands","$413,657,000","2021 est.","192","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$408,471,000","2021 est.","193","Central America and the Caribbean"
"Greenland","greenland","$407,100,000","2015 est.","194","North America"
"Grenada","grenada","$393,766,000","2021 est.","195","Central America and the Caribbean"
"Yemen","yemen","$384,500,000","2017 est.","196","Middle East"
"Burundi","burundi","$285,105,000","2018 est.","197","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$257,300,000","2015 est.","198","South America"
"Guinea-Bissau","guinea-bissau","$232,536,000","2020 est.","199","Africa"
"Korea, North","korea-north","$222,000,000","2018","200","East and Southeast Asia"
"Gibraltar","gibraltar","$202,300,000","2014 est.","201","Europe"
"Comoros","comoros","$139,575,000","2021 est.","202","Africa"
"Gambia, The","gambia-the","$135,448,000","2021 est.","203","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$125,777,000","2021 est.","204","Central America and the Caribbean"
"Central African Republic","central-african-republic","$113,700,000","2017 est.","205","Africa"
"Dominica","dominica","$104,959,000","2021 est.","206","Central America and the Caribbean"
"Samoa","samoa","$97,774,000","2021 est.","207","Australia and Oceania"
"Vanuatu","vanuatu","$88,805,000","2021 est.","208","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","$88,300,000","2013 est.","209","Australia and Oceania"
"Marshall Islands","marshall-islands","$76,734,000","2020 est.","210","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$75,256,000","2021 est.","211","Africa"
"Tonga","tonga","$58,745,000","2021 est.","212","Australia and Oceania"
"Nauru","nauru","$31,101,000","2018 est.","213","Australia and Oceania"
"British Virgin Islands","british-virgin-islands","$23,000,000","2017 est.","214","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$19,000,000","2004 est.","215","Africa"
"Palau","palau","$12,070,000","2021 est.","216","Australia and Oceania"
"Kiribati","kiribati","$10,754,000","2021 est.","217","Australia and Oceania"
"Anguilla","anguilla","$7,900,000","2017 est.","218","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$6,641,000","2010 est.","219","North America"
"Montserrat","montserrat","$4,400,000","2017 est.","220","Central America and the Caribbean"
"Cook Islands","cook-islands","$3,125,000","2011 est.","221","Australia and Oceania"
"Tuvalu","tuvalu","$2,699,000","2021 est.","222","Australia and Oceania"
"Niue","niue","$201,400","2004 est.","223","Australia and Oceania"
"Tokelau","tokelau","$103,000","2015 est.","224","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","$47,450","2004 est.","225","Australia and Oceania"
