name,slug,value,date_of_information,ranking,region
"Iceland","iceland","4.40","2021 est.","106","Europe"
"Madagascar","madagascar","4.40","2021 est.","107","Africa"
"Uruguay","uruguay","4.37","2021 est.","108","South America"
"Tunisia","tunisia","4.32","2021 est.","109","Africa"
"Kazakhstan","kazakhstan","4.30","2021 est.","110","Central Asia"
"Tanzania","tanzania","4.28","2021 est.","111","Africa"
"Gambia, The","gambia-the","4.27","2021 est.","112","Africa"
"Nepal","nepal","4.25","2021 est.","113","South Asia"
"Ecuador","ecuador","4.24","2021 est.","114","South America"
"Curacao","curacao","4.23","2021 est.","115","Central America and the Caribbean"
"Switzerland","switzerland","4.22","2021 est.","116","Europe"
"Korea, South","korea-south","4.15","2021 est.","117","East and Southeast Asia"
"Paraguay","paraguay","4.10","2021 est.","118","South America"
"Sierra Leone","sierra-leone","4.10","2021 est.","119","Africa"
"Bhutan","bhutan","4.09","2021 est.","120","South Asia"
"Latvia","latvia","4.07","2021 est.","121","Europe"
"Somalia","somalia","4.05","2021 est.","122","Africa"
"North Macedonia","north-macedonia","3.96","2021 est.","123","Europe"
"United Arab Emirates","united-arab-emirates","3.92","2021 est.","124","Middle East"
"Guinea","guinea","3.90","2021 est.","125","Africa"
"Norway","norway","3.88","2021 est.","126","Europe"
"Guinea-Bissau","guinea-bissau","3.80","2021 est.","127","Africa"
"New Zealand","new-zealand","3.71","2021 est.","128","Australia and Oceania"
"Mauritius","mauritius","3.70","2021 est.","129","Africa"
"Indonesia","indonesia","3.69","2021 est.","130","East and Southeast Asia"
"Cameroon","cameroon","3.65","2021 est.","131","Africa"
"Nigeria","nigeria","3.65","2021 est.","132","Africa"
"Kyrgyzstan","kyrgyzstan","3.61","2021 est.","133","Central Asia"
"Czechia","czechia","3.54","2021 est.","134","Europe"
"Uganda","uganda","3.54","2021 est.","135","Africa"
"Algeria","algeria","3.50","2021 est.","136","Africa"
"Ukraine","ukraine","3.40","2021 est.","137","Europe"
"Egypt","egypt","3.33","2021 est.","138","Africa"
"Sri Lanka","sri-lanka","3.33","2021 est.","139","South Asia"
"Saudi Arabia","saudi-arabia","3.24","2021 est.","140","Middle East"
"Malaysia","malaysia","3.09","2021 est.","141","East and Southeast Asia"
"Oman","oman","3.09","2021 est.","142","Middle East"
"Mali","mali","3.05","2021 est.","143","Africa"
"Cambodia","cambodia","3.03","2021 est.","144","East and Southeast Asia"
"Slovakia","slovakia","3.01","2021 est.","145","Europe"
"Tuvalu","tuvalu","2.99","2021 est.","146","Australia and Oceania"
"Finland","finland","2.97","2021 est.","147","Europe"
"Iraq","iraq","2.78","2021 est.","148","Middle East"
"Malawi","malawi","2.75","2021 est.","149","Africa"
"Taiwan","taiwan","2.71","2019 est.","150","East and Southeast Asia"
"Namibia","namibia","2.66","2021 est.","151","Africa"
"Germany","germany","2.63","2021 est.","152","Europe"
"Vietnam","vietnam","2.56","2021 est.","153","East and Southeast Asia"
"Laos","laos","2.53","2021 est.","154","East and Southeast Asia"
"Mauritania","mauritania","2.45","2021 est.","155","Africa"
"Mozambique","mozambique","2.36","2021 est.","156","Africa"
"Belarus","belarus","2.30","2021 est.","157","Europe"
"Australia","australia","2.24","2021 est.","158","Australia and Oceania"
"Bahrain","bahrain","2.23","2021 est.","159","Middle East"
"Jordan","jordan","2.23","2021 est.","160","Middle East"
"Comoros","comoros","2.11","2021 est.","161","Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","2.10","2021 est.","162","Central America and the Caribbean"
