name,slug,value,date_of_information,ranking,region
"Puerto Rico","puerto-rico","2,559,600","2020 est.","121","Central America and the Caribbean"
"Laos","laos","2,473,689","2020 est.","122","East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","2,394,995","2020 est.","123","Europe"
"Niger","niger","2,331,072","2019 est.","124","Africa"
"Armenia","armenia","2,288,566","July 2022 est.","125","Middle East"
"Mongolia","mongolia","2,065,324","2020 est.","126","East and Southeast Asia"
"Albania","albania","2,043,251","2020 est.","127","Europe"
"Togo","togo","1,986,897","2020 est.","128","Africa"
"Mauritania","mauritania","1,906,360","2020 est.","129","Africa"
"Slovenia","slovenia","1,829,105","2020 est.","130","Europe"
"North Macedonia","north-macedonia","1,678,750","2020 est.","131","Europe"
"Latvia","latvia","1,663,739","July 2022 est.","132","Europe"
"Chad","chad","1,642,586","2020 est.","133","Africa"
"Jamaica","jamaica","1,621,552","2019 est.","134","Central America and the Caribbean"
"Botswana","botswana","1,505,040","2020 est.","135","Africa"
"Kosovo","kosovo","1,502,658","2019 est.","136","Europe"
"Libya","libya","1,491,040","2019 est.","137","Africa"
"Sierra Leone","sierra-leone","1,435,857","2020 est.","138","Africa"
"Gabon","gabon","1,379,951","2020 est.","139","Africa"
"Liberia","liberia","1,314,996","2020 est.","140","Africa"
"Estonia","estonia","1,276,521","July 2022 est.","141","Europe"
"Turkmenistan","turkmenistan","1,247,940","July 2022 est.","142","Central Asia"
"Cyprus","cyprus","1,098,699","2020 est.","143","Europe"
"Trinidad and Tobago","trinidad-and-tobago","1,074,126","2019 est.","144","Central America and the Caribbean"
"Burundi","burundi","1,070,170","2020 est.","145","Africa"
"Namibia","namibia","1,041,776","2020 est.","146","Africa"
"Papua New Guinea","papua-new-guinea","965,373","2019 est.","147","East and Southeast Asia"
"Lesotho","lesotho","921,168","2020 est.","148","Africa"
"Gambia, The","gambia-the","894,166","2020 est.","149","Africa"
"Mauritius","mauritius","822,731","2020 est.","150","Africa"
"South Sudan","south-sudan","783,561","2020 est.","151","Africa"
"Luxembourg","luxembourg","624,115","2020 est.","152","Europe"
"Djibouti","djibouti","582,921","2020 est.","153","Africa"
"Macau","macau","571,421","2020 est.","154","East and Southeast Asia"
"Eswatini","eswatini","539,623","2019 est.","155","Africa"
"Montenegro","montenegro","484,619","2020 est.","156","Europe"
"Congo, Republic of the","congo-republic-of-the","484,245","2019 est.","157","Africa"
"Central African Republic","central-african-republic","482,976","2020 est.","158","Africa"
"Guinea-Bissau","guinea-bissau","452,640","2020 est.","159","Africa"
"Malta","malta","448,339","2020 est.","160","Europe"
"Fiji","fiji","444,978","2019 est.","161","Australia and Oceania"
"Bhutan","bhutan","416,671","2020 est.","162","South Asia"
"Brunei","brunei","415,609","2020 est.","163","East and Southeast Asia"
"Suriname","suriname","410,644","2020 est.","164","South America"
"Timor-Leste","timor-leste","382,348","2020 est.","165","East and Southeast Asia"
"Iceland","iceland","362,798","2020 est.","166","Europe"
"Cabo Verde","cabo-verde","361,392","2020 est.","167","Africa"
"Equatorial Guinea","equatorial-guinea","352,555","2019 est.","168","Africa"
"Bahamas, The","bahamas-the","342,126","2020 est.","169","Central America and the Caribbean"
"Maldives","maldives","340,542","2020 est.","170","South Asia"
"Somalia","somalia","308,858","2019 est.","171","Africa"
"Guyana","guyana","289,627","2019 est.","172","South America"
"Barbados","barbados","235,357","2019 est.","173","Central America and the Caribbean"
"New Caledonia","new-caledonia","222,466","2019 est.","174","Australia and Oceania"
"French Polynesia","french-polynesia","203,878","2019 est.","175","Australia and Oceania"
"Belize","belize","202,787","2020 est.","176","Central America and the Caribbean"
"Bahrain","bahrain","170,158","2020 est.","177","Middle East"
"Guam","guam","135,509","2019 est.","178","Australia and Oceania"
"Curacao","curacao","107,060","2019 est.","179","Central America and the Caribbean"
"Aruba","aruba","103,121","2019 est.","180","Central America and the Caribbean"
"Saint Lucia","saint-lucia","97,323","2020 est.","181","Central America and the Caribbean"
"Solomon Islands","solomon-islands","80,379","2019 est.","182","Australia and Oceania"
"Vanuatu","vanuatu","77,969","2019 est.","183","Australia and Oceania"
"Seychelles","seychelles","77,785","2020 est.","184","Africa"
"Antigua and Barbuda","antigua-and-barbuda","73,807","2019 est.","185","Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","72,323","2020 est.","186","Africa"
"Andorra","andorra","71,084","2020 est.","187","Europe"
"Comoros","comoros","69,568","2020 est.","188","Africa"
"Virgin Islands","virgin-islands","68,268","2019 est.","189","Central America and the Caribbean"
"Samoa","samoa","67,012","2019 est.","190","Australia and Oceania"
"Grenada","grenada","64,136","2020 est.","191","Central America and the Caribbean"
"Bermuda","bermuda","62,625","2020 est.","192","North America"
"Guernsey","guernsey","54,726","2019 est.","193","Europe"
"Cayman Islands","cayman-islands","53,233","2020 est.","194","Central America and the Caribbean"
"Eritrea","eritrea","53,200","2019 est.","195","Africa"
"Dominica","dominica","50,266","2019 est.","196","Central America and the Caribbean"
"Faroe Islands","faroe-islands","47,703","2019 est.","197","Europe"
"Kiribati","kiribati","45,390","2020 est.","198","Australia and Oceania"
"Jersey","jersey","44,198","2019 est.","199","Europe"
"Tonga","tonga","42,844","2019 est.","200","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","42,796","2019 est.","201","Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","39,834","2019 est.","202","Australia and Oceania"
"Greenland","greenland","39,358","2019 est.","203","North America"
"Sint Maarten","sint-maarten","39,100","March 2022","204","Central America and the Caribbean"
"Monaco","monaco","37,798","2019 est.","205","Europe"
"Liechtenstein","liechtenstein","37,260","2019 est.","206","Europe"
"Gibraltar","gibraltar","31,684","2019 est.","207","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","24,408","2020 est.","208","Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","23,585","2020 est.","209","Central America and the Caribbean"
"Marshall Islands","marshall-islands","22,929","2019 est.","210","Australia and Oceania"
