name,slug,value,date_of_information,ranking,region
"Haiti","haiti","$5,222,000,000","2021 est.","141","Central America and the Caribbean"
"Gabon","gabon","$5,020,000,000","2019 est.","142","Africa"
"Bahamas, The","bahamas-the","$4,924,000,000","2021 est.","143","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","$4,844,000,000","2018 est.","144","East and Southeast Asia"
"Burkina Faso","burkina-faso","$4,779,000,000","2020 est.","145","Africa"
"Madagascar","madagascar","$4,768,000,000","2021 est.","146","Africa"
"Turkmenistan","turkmenistan","$4,571,000,000","2017 est.","147","Central Asia"
"Mauritania","mauritania","$4,312,000,000","2021 est.","148","Africa"
"Tajikistan","tajikistan","$4,258,000,000","2021 est.","149","Central Asia"
"Yemen","yemen","$4,079,000,000","2017 est.","150","Middle East"
"South Sudan","south-sudan","$4,037,000,000","2021 est.","151","Africa"
"Benin","benin","$3,942,000,000","2020 est.","152","Africa"
"Rwanda","rwanda","$3,856,000,000","2021 est.","153","Africa"
"Montenegro","montenegro","$3,637,000,000","2021 est.","154","Europe"
"Malawi","malawi","$3,582,000,000","2021 est.","155","Africa"
"Niger","niger","$3,542,000,000","2020 est.","156","Africa"
"Maldives","maldives","$3,501,000,000","2021 est.","157","South Asia"
"Congo, Republic of the","congo-republic-of-the","$3,279,000,000","2020 est.","158","Africa"
"Gibraltar","gibraltar","$2,967,000,000","2004 est.","159","Europe"
"Guam","guam","$2,964,000,000","2016 est.","160","Australia and Oceania"
"New Caledonia","new-caledonia","$2,715,000,000","2015 est.","161","Australia and Oceania"
"San Marino","san-marino","$2,551,000,000","2011 est.","162","Europe"
"Cayman Islands","cayman-islands","$2,507,000,000","2020 est.","163","Central America and the Caribbean"
"Virgin Islands","virgin-islands","$2,489,000,000","2016 est.","164","Central America and the Caribbean"
"Togo","togo","$2,389,000,000","2020 est.","165","Africa"
"Fiji","fiji","$2,344,000,000","2021 est.","166","Australia and Oceania"
"Korea, North","korea-north","$2,320,000,000","2018 est.","167","East and Southeast Asia"
"French Polynesia","french-polynesia","$2,235,000,000","2014 est.","168","Australia and Oceania"
