name,slug,value,date_of_information,ranking,region
"Bosnia and Herzegovina","bosnia-and-herzegovina","0.90","2021 est.","136","Europe"
"Malawi","malawi","0.90","2021 est.","137","Africa"
"Argentina","argentina","0.80","2021 est.","138","South America"
"Bahamas, The","bahamas-the","0.80","2022 est.","139","Central America and the Caribbean"
"Barbados","barbados","0.80","2022 est.","140","Central America and the Caribbean"
"Gambia, The","gambia-the","0.80","2021 est.","141","Africa"
"Indonesia","indonesia","0.80","2021 est.","142","East and Southeast Asia"
"Mexico","mexico","0.80","2022 est.","143","North America"
"Mongolia","mongolia","0.80","2021 est.","144","East and Southeast Asia"
"South Africa","south-africa","0.80","2021 est.","145","Africa"
"Austria","austria","0.70","2022 est.","146","Europe"
"Benin","benin","0.70","2021 est.","147","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.70","2021 est.","148","Africa"
"Costa Rica","costa-rica","0.70","2021 est.","149","Central America and the Caribbean"
"Dominican Republic","dominican-republic","0.70","2022 est.","150","Central America and the Caribbean"
"Liberia","liberia","0.70","2021 est.","151","Africa"
"Madagascar","madagascar","0.70","2021 est.","152","Africa"
"Nigeria","nigeria","0.70","2021 est.","153","Africa"
"Switzerland","switzerland","0.70","2021 est.","154","Europe"
"Luxembourg","luxembourg","0.60","2022 est.","155","Europe"
"Nicaragua","nicaragua","0.60","2021 est.","156","Central America and the Caribbean"
"Cabo Verde","cabo-verde","0.50","2021 est.","157","Africa"
"Ethiopia","ethiopia","0.50","2021 est.","158","Africa"
"Ghana","ghana","0.50","2021 est.","159","Africa"
"Malta","malta","0.50","2021 est.","160","Europe"
"Guatemala","guatemala","0.40","2022 est.","161","Central America and the Caribbean"
"Moldova","moldova","0.40","2022 est.","162","Europe"
"Papua New Guinea","papua-new-guinea","0.40","2021 est.","163","East and Southeast Asia"
"Ireland","ireland","0.30","2021","164","Europe"
"Sierra Leone","sierra-leone","0.30","2021 est.","165","Africa"
"Laos","laos","0.20","2019 est.","166","East and Southeast Asia"
"Mauritius","mauritius","0.20","2021 est.","167","Africa"
