name,slug,value,date_of_information,ranking,region
"China","china","11.4"," est.","142","East and Southeast Asia"
"Belarus","belarus","11.3"," est.","143","Europe"
"Peru","peru","11.2"," est.","144","South America"
"Tonga","tonga","11.1"," est.","145","Australia and Oceania"
"Turkmenistan","turkmenistan","11.0"," est.","146","Central Asia"
"Australia","australia","10.8"," est.","147","Australia and Oceania"
"Sierra Leone","sierra-leone","10.8"," est.","148","Africa"
"United Arab Emirates","united-arab-emirates","10.7"," est.","149","Middle East"
"Denmark","denmark","10.1"," est.","150","Europe"
"Isle of Man","isle-of-man","10.1"," est.","151","Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","10.1"," est.","152","Africa"
"Bahrain","bahrain","9.9"," est.","153","Middle East"
"Malawi","malawi","9.9"," est.","154","Africa"
"Malta","malta","9.8"," est.","155","Europe"
"Togo","togo","9.7"," est.","156","Africa"
"Netherlands","netherlands","9.6"," est.","157","Europe"
"Ghana","ghana","9.6"," est.","158","Africa"
"United States","united-states","9.6"," est.","159","North America"
"Nepal","nepal","9.5"," est.","160","South Asia"
"Pakistan","pakistan","9.4"," est.","161","South Asia"
"Macau","macau","9.2"," est.","162","East and Southeast Asia"
"Singapore","singapore","9.1"," est.","163","East and Southeast Asia"
"Switzerland","switzerland","9.1"," est.","164","Europe"
"Israel","israel","8.8"," est.","165","Middle East"
"Moldova","moldova","8.6"," est.","166","Europe"
"Guinea","guinea","8.2"," est.","167","Africa"
"Mexico","mexico","8.1"," est.","168","North America"
"Mozambique","mozambique","8.1"," est.","169","Africa"
"Korea, South","korea-south","7.8"," est.","170","East and Southeast Asia"
"Burkina Faso","burkina-faso","7.7"," est.","171","Africa"
"Czechia","czechia","7.6"," est.","172","Europe"
"Cuba","cuba","7.4"," est.","173","Central America and the Caribbean"
"Zimbabwe","zimbabwe","7.3"," est.","174","Africa"
"Philippines","philippines","7.3"," est.","175","East and Southeast Asia"
"Vietnam","vietnam","7.2"," est.","176","East and Southeast Asia"
"Guatemala","guatemala","7.2"," est.","177","Central America and the Caribbean"
"Thailand","thailand","7.0"," est.","178","East and Southeast Asia"
"Germany","germany","7.0"," est.","179","Europe"
"Cameroon","cameroon","6.6"," est.","180","Africa"
"Burma","burma","6.4"," est.","181","East and Southeast Asia"
"Korea, North","korea-north","6.1"," est.","182","East and Southeast Asia"
"Ethiopia","ethiopia","5.7"," est.","183","Africa"
"Cote d'Ivoire","cote-divoire","5.7"," est.","184","Africa"
"Palau","palau","5.6","","185","Australia and Oceania"
"Vanuatu","vanuatu","5.4"," est.","186","Australia and Oceania"
"Papua New Guinea","papua-new-guinea","5.3"," est.","187","East and Southeast Asia"
"Senegal","senegal","5.0"," est.","188","Africa"
"Madagascar","madagascar","4.8"," est.","189","Africa"
"Tanzania","tanzania","4.6"," est.","190","Africa"
"Japan","japan","4.4"," est.","191","East and Southeast Asia"
"Uganda","uganda","4.3"," est.","192","Africa"
"Benin","benin","3.9"," est.","193","Africa"
"Kazakhstan","kazakhstan","3.7"," est.","194","Central Asia"
"Burundi","burundi","3.4"," est.","195","Africa"
"Laos","laos","3.3"," est.","196","East and Southeast Asia"
"Liberia","liberia","3.2"," est.","197","Africa"
"Rwanda","rwanda","2.9"," est.","198","Africa"
"Chad","chad","2.4"," est.","199","Africa"
"Solomon Islands","solomon-islands","1.9"," est.","200","Australia and Oceania"
"Cambodia","cambodia","1.8"," est.","201","East and Southeast Asia"
"Qatar","qatar","1.1"," est.","202","Middle East"
"Niger","niger","1.0"," est.","203","Africa"
