name,slug,value,date_of_information,ranking,region
"Malawi","malawi","11.72","2020 est.","179","Africa"
"Tanzania","tanzania","11.70","2018 est.","180","Africa"
"Gabon","gabon","11.48","2019 est.","181","Africa"
"Korea, North","korea-north","11.40","2007 est.","182","East and Southeast Asia"
"Uganda","uganda","11.39","2020 est.","183","Africa"
"Ghana","ghana","11.34","2020 est.","184","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","11.20","2017 est.","185","Africa"
"Malaysia","malaysia","10.89","2020 est.","186","East and Southeast Asia"
"Argentina","argentina","10.87","2020 est.","187","South America"
"Cameroon","cameroon","10.87","2020 est.","188","Africa"
"Russia","russia","10.83","2020 est.","189","Central Asia"
"Germany","germany","10.55","2020 est.","190","Europe"
"Angola","angola","10.09","2019 est.","191","Africa"
"Guatemala","guatemala","9.97","2020 est.","192","Central America and the Caribbean"
"Afghanistan","afghanistan","9.90","2017 est.","193","South Asia"
"United States","united-states","9.86","2020 est.","194","North America"
"Madagascar","madagascar","9.52","2020 est.","195","Africa"
"Paraguay","paraguay","9.51","2020 est.","196","South America"
"Guinea-Bissau","guinea-bissau","9.46","2019 est.","197","Africa"
"Switzerland","switzerland","9.37","2020 est.","198","Europe"
"Yemen","yemen","9.00","2017 est.","199","Middle East"
"Congo, Republic of the","congo-republic-of-the","8.95","2020 est.","200","Africa"
"Lebanon","lebanon","8.90","2020 est.","201","Middle East"
"Puerto Rico","puerto-rico","8.90","2017 est.","202","Central America and the Caribbean"
"Central African Republic","central-african-republic","8.71","2020 est.","203","Africa"
"Saudi Arabia","saudi-arabia","8.60","2020 est.","204","Middle East"
"Panama","panama","8.51","2020 est.","205","Central America and the Caribbean"
"South Sudan","south-sudan","8.50","FY2017/18 est.","206","Africa"
"Kazakhstan","kazakhstan","8.32","2020 est.","207","Central Asia"
"Indonesia","indonesia","8.31","2020 est.","208","East and Southeast Asia"
"China","china","8.09","2020 est.","209","East and Southeast Asia"
"Equatorial Guinea","equatorial-guinea","7.85","2020 est.","210","Africa"
"Sri Lanka","sri-lanka","7.68","2020 est.","211","South Asia"
"Sudan","sudan","7.39","2016 est.","212","Africa"
"Zimbabwe","zimbabwe","7.21","2018 est.","213","Africa"
"Bangladesh","bangladesh","7.00","2020 est.","214","South Asia"
"Burma","burma","6.44","2019 est.","215","East and Southeast Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","6.43","2020 est.","216","Australia and Oceania"
"Ethiopia","ethiopia","6.20","2020 est.","217","Africa"
"Syria","syria","4.20","2017 est.","218","Middle East"
"Nigeria","nigeria","3.40","2017 est.","219","Africa"
"Iraq","iraq","1.34","2019 est.","220","Middle East"
"United Arab Emirates","united-arab-emirates","0.68","2020 est.","221","Middle East"
"Somalia","somalia","0.00","2020 est.","222","Africa"
