name,slug,value,date_of_information,ranking,region
"Turks and Caicos Islands","turks-and-caicos-islands","4,000","2020 est.","206","Central America and the Caribbean"
"Vanuatu","vanuatu","3,472","2020 est.","207","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","3,132","2018 est.","208","Australia and Oceania"
"Montserrat","montserrat","3,000","2018 est.","209","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","3,000","2018 est.","210","Africa"
"Sao Tome and Principe","sao-tome-and-principe","2,790","2020 est.","211","Africa"
"Marshall Islands","marshall-islands","2,361","2018 est.","212","Australia and Oceania"
"Timor-Leste","timor-leste","2,012","2020 est.","213","East and Southeast Asia"
"Central African Republic","central-african-republic","2,000","2020 est.","214","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","2,000","2018 est.","215","South America"
"Tuvalu","tuvalu","2,000","2020 est.","216","Australia and Oceania"
"Nauru","nauru","1,900","2009 est.","217","Australia and Oceania"
"Dominica","dominica","1,000","2020 est.","218","Central America and the Caribbean"
"Niue","niue","1,000","2018 est.","219","Australia and Oceania"
"Sierra Leone","sierra-leone","189","2020 est.","220","Africa"
"Kiribati","kiribati","33","2020 est.","221","Australia and Oceania"
"Guinea","guinea","0","2018 est.","222","Africa"
