name,slug,value,date_of_information,ranking,region
"French Southern and Antarctic Lands","french-southern-and-antarctic-lands","2","","176","Antarctica"
"Guinea","guinea","2","","177","Africa"
"Zambia","zambia","2","","178","Africa"
"Aruba","aruba","1","","179","Central America and the Caribbean"
"Austria","austria","1","","180","Europe"
"Hungary","hungary","1","","181","Europe"
"Laos","laos","1","","182","East and Southeast Asia"
"Macau","macau","1","","183","East and Southeast Asia"
"Niger","niger","1","","184","Africa"
"Northern Mariana Islands","northern-mariana-islands","1","","185","Australia and Oceania"
"Timor-Leste","timor-leste","1","","186","East and Southeast Asia"
"Wallis and Futuna","wallis-and-futuna","1","","187","Australia and Oceania"
