name,slug,value,date_of_information,ranking,region
"Switzerland","switzerland","0.2","2021 est.","105","Europe"
"Tajikistan","tajikistan","0.2","2021 est.","106","Central Asia"
"Timor-Leste","timor-leste","0.2","2021 est.","107","East and Southeast Asia"
"Uzbekistan","uzbekistan","0.2","2021 est.","108","Central Asia"
"Australia","australia","0.1","2021 est.","109","Australia and Oceania"
"Azerbaijan","azerbaijan","0.1","2021 est.","110","Middle East"
"Bahrain","bahrain","0.1","2021 est.","111","Middle East"
"Cyprus","cyprus","0.1","2021 est.","112","Europe"
"Denmark","denmark","0.1","2021 est.","113","Europe"
"Iceland","iceland","0.1","2021","114","Europe"
"Nepal","nepal","0.1","2021 est.","115","South Asia"
"Netherlands","netherlands","0.1","2021 est.","116","Europe"
"Oman","oman","0.1","2021","117","Middle East"
"Sudan","sudan","0.1","2021 est.","118","Africa"
